group,targets,GT_same_fraction,GT_shallow_candidate_fraction,GT_deep_candidate_fraction,GT_other_fraction,GT_background_fraction,GT_ignore_fraction
all,587701,0.8334625353149018,0.29223177206028644,0.5186978824570564,0.15855153791277282,0.030518807818259504,0.0
hard_disagreement,587701,0.8334625353149018,0.29223177206028644,0.5186978824570564,0.15855153791277282,0.030518807818259504,0.0
adjudication,497629,0.8412375235388926,0.33396673296154744,0.5947171364197317,0.04118010711187666,0.030136023716073657,0.0
Deep_Win,314730,0.8675650421097785,0.06550404937246813,0.8675650421097785,0.039464882123029704,0.02746602672132129,0.0
Shallow_Win,182899,0.79593350372569,0.79593350372569,0.12520433778317017,0.04413164189741296,0.03473051660099054,0.0
Both_Wrong,90072,0.7905073481877557,0.06165482408162949,0.09870737119726325,0.8070041950983484,0.032633610087406874,0.0
Both_Correct,0,nan,nan,nan,nan,nan,nan
Top20,382606,0.8377259890832768,0.25279172388913124,0.5574379870550922,0.1596354753816045,0.030134813986128578,0.0
Bottom80,205095,0.8255090357537087,0.36580742758856855,0.44642797602425177,0.15652944581301514,0.03123515070392852,0.0
Top20_Both_Wrong,58704,0.7860719212346822,0.05977737923241841,0.10233424065292121,0.8034830450030329,0.03440533558468167,0.0
Deep_Correct,314730,0.8675650421097785,0.06550404937246813,0.8675650421097785,0.039464882123029704,0.02746602672132129,0.0
Top20_Deep_Correct,220561,0.878102935890067,0.05672941711217624,0.878102935890067,0.03929647894473467,0.02587116840855378,0.0
Deep_Wrong,272971,0.7941430399708852,0.5536442157320943,0.1164611570997796,0.29585602511729586,0.03403860220901664,0.0
Top20_Deep_Wrong,162045,0.782768540444612,0.5196540056320543,0.12097785696782706,0.3234300348750319,0.0359381027777326,0.0
Shallow_Correct,182899,0.79593350372569,0.79593350372569,0.12520433778317017,0.04413164189741296,0.03473051660099054,0.0
Top20_Shallow_Correct,103341,0.780892018387536,0.780892018387536,0.1315685697744598,0.05073060380165181,0.03680880816379294,0.0
Shallow_Wrong,404802,0.8504190284859712,0.06464756294108583,0.6964874581689084,0.2102491198449602,0.028615859402360565,0.0
Top20_Shallow_Wrong,279265,0.858757193730005,0.057370126002680585,0.7150294197487626,0.19993532797302802,0.027665126655764895,0.0
class0,152759,0.8503351761785682,0.5133673597692191,0.33186708403614834,0.13619248812680398,0.01857306813067318,0.0
class1,229638,0.8052843393790924,0.32635095077472837,0.4971270077408781,0.13240058448575864,0.04412145725601216,0.0
class2,116575,0.815572768207236,0.1277285005678184,0.6056795511077214,0.2378048906845358,0.02878705809080988,0.0
class3,88729,0.9008456503414514,0.03934328768402422,0.7819003353315618,0.1606009144408441,0.01815546282199893,0.0
boundary,65527,0.48321964690207175,0.3414320878231047,0.39907773225811916,0.2141750166776584,0.045315163311982834,0.0
interior,522174,0.8774141027024537,0.2860576824062819,0.5337088741611354,0.151571413101835,0.028662030601398443,0.0
Q1,854,0.8435786656546788,0.4287199662083354,0.3894467126257473,0.14999903817781066,0.03183428266367044,0.0
Q2,10101,0.8459743547491466,0.42382540097030497,0.39241946414369366,0.15594102538799032,0.027814109408161203,0.0
Q3,37652,0.8305916756624628,0.4285296320244137,0.3813864863075085,0.16128537089039127,0.02879851084055058,0.0
Q4,101872,0.8236394117814858,0.37776394496420157,0.4135698306874726,0.17721378544650532,0.03145243900395131,0.0
Q5,437222,0.835689719182169,0.25725867211367015,0.5581871405001398,0.1540448522056419,0.03050933548790633,0.0
Corrected_by_CH,217673,0.8991613388181836,0.0699512287498477,0.782321219111981,0.12157583457064802,0.026151717866099027,0.0
Still_Wrong,142192,0.7548381615237534,0.1605499554291241,0.4438801584363848,0.3632680839406479,0.03230180262961143,0.0
Harmed_by_CH,39168,0.6207721181444451,0.5597668878648488,0.28729616535009184,0.10456675027181916,0.04837019659114756,0.0
Stable_Correct,188668,0.8610748466918897,0.5923873795750653,0.31897318992788104,0.058131929516625075,0.03050750106504431,0.0
pair0_1,201473,0.8288309329869844,0.34188311923176495,0.49186581125560197,0.14030671213362114,0.02594435748051657,0.0
pair0_2,44977,0.8265633803651099,0.07804935569254054,0.6283829437490533,0.25783550611710576,0.03573219479360315,0.0
pair0_3,63094,0.8816701797293321,0.21858445093718742,0.49774912249566405,0.2539827116765392,0.029683715064802385,0.0
pair1_0,66979,0.8315271034049319,0.3066762846645015,0.5947223894948566,0.07500342955252397,0.02359789663859275,0.0
pair1_2,76360,0.7974154425080722,0.3366104458426157,0.5391764873417566,0.08288073858906403,0.04133232877438038,0.0
pair1_3,86266,0.8704216598197535,0.3400441358129664,0.4416024738360214,0.18817354444466264,0.030179846272774587,0.0
pair2_0,5604,0.8554857153269987,0.11204917335897407,0.6709137412916861,0.20147358369298923,0.015563501246944255,0.0
pair2_1,35079,0.7742663577299259,0.24149447831349738,0.5617770886422435,0.15426439743643225,0.04246403566016874,0.0
pair2_3,3995,0.8227911382032388,0.12615890399108784,0.34566120880892565,0.4918476979205098,0.036332189773695456,0.0
pair3_0,1273,0.7994612864257427,0.14651483384956726,0.5384057072036624,0.2755781395956347,0.03950131935150145,0.0
