metric,start,mean,end,min,max,status
L_SSHR,0.16958370804786682,0.18774869044621786,0.22407865524291992,0.16958370804786682,0.22407865524291992,FINITE
L_sem,1.157049536705017,1.006640613079071,0.705822765827179,0.705822765827179,1.157049536705017,FINITE
L_eq,0.06257335841655731,0.06257335841655731,0.06257335841655731,0.06257335841655731,0.06257335841655731,FINITE
L_orth,0.015844818204641342,0.015408216665188471,0.01453501358628273,0.01453501358628273,0.015844818204641342,FINITE
L_rec,0.0,0.0005003611246744791,0.0015010833740234375,0.0,0.0015010833740234375,FINITE
r_sem,4.106567235345946,3.293547120611712,2.480527005877478,2.480527005877478,4.106567235345946,HARD-STOP RANGE OBSERVED
r_eq,0.3326435013764769,0.3258075955308797,0.3189716896852824,0.3189716896852824,0.3326435013764769,REVIEW RANGE OBSERVED
r_orth,0.05321303733182597,0.05582158495510932,0.05843013257839267,0.05321303733182597,0.05843013257839267,HEALTHY REFERENCE RANGE
r_rec,2.1186459905988243e-08,0.006455904935574185,0.012911788684688464,2.1186459905988243e-08,0.012911788684688464,BELOW REFERENCE RANGE
"cos(base,sem)",-0.015909643843770027,-0.021435926668345928,-0.02696220949292183,-0.02696220949292183,-0.015909643843770027,FINITE
"cos(base,eq)",0.005615974310785532,0.0019349096110090613,-0.0017461550887674093,-0.0017461550887674093,0.005615974310785532,FINITE
"cos(base,orth)",-0.015203609131276608,-0.006326173315756023,0.0025512624997645617,-0.015203609131276608,0.0025512624997645617,FINITE
"cos(base,rec)",0.0,-0.005300136748701334,-0.010600273497402668,-0.010600273497402668,0.0,FINITE
RMS(S),0.9192843437194824,0.8026740352312723,0.7394002079963684,0.7394002079963684,0.9192843437194824,FINITE
RMS(M),0.703722357749939,0.6671341061592102,0.6602311134338379,0.6374488472938538,0.703722357749939,FINITE
RMS(S)/RMS(M),1.3063168074657578,1.2005845907951536,1.1199111840544065,1.1199111840544065,1.3063168074657578,HEALTHY
"Cos(H,H_hat)",1.0,0.9984623193740845,0.9969591498374939,0.9969591498374939,1.0,GO RANGE
Residual Ratio,0.0,0.04461212924912087,0.07732331181370132,0.0,0.07732331181370132,FINITE
"CrossCov(S,M)",0.015844818204641342,0.015200291760265827,0.015338481403887272,0.014417575672268867,0.015844818204641342,FINITE
EqErr(M),0.06257335841655731,0.06231263652443886,0.062207963317632675,0.06215658783912659,0.06257335841655731,FINITE
EqErr(S),0.04565878212451935,0.05289978037277857,0.06013921648263931,0.04565878212451935,0.06013921648263931,FINITE
