index,image_name,source_group,fold,router_choice_index,router_choice,safe_oracle_choice,predicted_relative_cam56,true_relative_cam56,predicted_relative_cam28_1,true_relative_cam28_1,predicted_relative_cam28_2,true_relative_cam28_2,predicted_relative_camdeep,true_relative_camdeep
0,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+19,TCGA-OL-A6VO-DX1,1,0,cam56,camdeep,0.02986275404691696,5.3942203521728516e-06,0.012867867946624756,3.106892108917236e-05,0.02259029820561409,0.0014912784099578857,-0.01742798089981079,0.04447934031486511
1,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+111,TCGA-OL-A66P-DX1,4,0,cam56,cam28_1,0.009693251922726631,-0.0706021785736084,-0.04312492907047272,0.014059484004974365,-0.00072459876537323,-0.06609910726547241,-0.03372538089752197,-0.17016971111297607
2,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+12,TCGA-LL-A740-DX1,2,0,cam56,cam56,0.016052894294261932,0.01932629942893982,-0.020444512367248535,0.007723629474639893,-0.036860398948192596,0.0,-0.025951720774173737,0.006510704755783081
3,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+110,TCGA-LL-A740-DX1,2,-1,official_fusion,official_fusion,-0.0020376364700496197,-3.987550735473633e-05,-0.09519033133983612,-7.969141006469727e-05,-0.14380522072315216,-1.990795135498047e-05,-0.14619936048984528,-0.0012755393981933594
4,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+137,TCGA-OL-A66P-DX1,4,-1,official_fusion,official_fusion,-0.007690826430916786,0.0,-0.008431347087025642,0.0,-0.023881422355771065,0.0,-0.020687947049736977,0.0
5,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+147,TCGA-OL-A5D7-DX1,2,1,cam28_1,cam28_2,-0.03345421329140663,-0.22242963314056396,0.04400387406349182,-0.027138233184814453,-0.0032359655015170574,0.0910605788230896,0.03878910467028618,0.07115912437438965
6,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+51,TCGA-OL-A66P-DX1,4,0,cam56,cam56,0.11632896959781647,0.07533392310142517,0.011219015344977379,4.89354133605957e-05,0.010150713846087456,4.89354133605957e-05,0.003117276355624199,0.025098085403442383
7,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+230,TCGA-GM-A3XL-DX1,3,0,cam56,official_fusion,0.05005430430173874,-0.03339824080467224,0.030534984543919563,-0.0032941699028015137,0.0055878181010484695,-0.016283005475997925,0.03361595422029495,-0.017517954111099243
8,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+15,TCGA-LL-A441-DX1,2,3,camdeep,camdeep,0.012341639958322048,0.06142514944076538,-0.014042428694665432,0.004381328821182251,0.02652909979224205,0.08225667476654053,0.05427595227956772,0.10276475548744202
9,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+83,TCGA-EW-A1PB-DX1,2,0,cam56,camdeep,0.0022638593800365925,0.006633251905441284,-0.016986966133117676,0.0,-0.009630626998841763,0.0025624632835388184,-0.029654525220394135,0.010989546775817871
