index,choice_index,choice,official_q,selected_q,local_gain
0,4,camdeep,0.13556282222270966,0.18004216253757477,0.04447934031486511
1,2,cam28_1,0.8031204342842102,0.8171799182891846,0.014059484004974365
2,1,cam56,0.3714712858200073,0.39079758524894714,0.01932629942893982
3,0,official_fusion,1.0,1.0,0.0
4,0,official_fusion,0.9770807027816772,0.9770807027816772,0.0
5,3,cam28_2,0.5970830917358398,0.6881436705589294,0.0910605788230896
6,1,cam56,0.35006776452064514,0.4254016876220703,0.07533392310142517
7,0,official_fusion,0.33120405673980713,0.33120405673980713,0.0
8,4,camdeep,0.3833255469799042,0.4860903024673462,0.10276475548744202
9,4,camdeep,0.3965389132499695,0.40752846002578735,0.010989546775817871
10,0,official_fusion,0.4139728248119354,0.4139728248119354,0.0
11,2,cam28_1,0.21211349964141846,0.22666765749454498,0.014554157853126526
12,1,cam56,0.7089911699295044,0.7849095463752747,0.07591837644577026
13,0,official_fusion,0.8633410334587097,0.8633410334587097,0.0
14,0,official_fusion,0.8592953085899353,0.8592953085899353,0.0
15,3,cam28_2,0.7303690910339355,0.7304273247718811,5.823373794555664e-05
16,1,cam56,0.5222303867340088,0.7838161587715149,0.2615857720375061
17,0,official_fusion,1.0,1.0,0.0
18,2,cam28_1,0.4156804084777832,0.4273124635219574,0.011632055044174194
19,3,cam28_2,0.871492326259613,0.893574595451355,0.022082269191741943
20,1,cam56,0.6804249286651611,0.7360092401504517,0.05558431148529053
21,2,cam28_1,0.42156311869621277,0.4342643618583679,0.012701243162155151
22,1,cam56,0.44346994161605835,0.4668900668621063,0.023420125246047974
23,2,cam28_1,0.7558198571205139,0.770302414894104,0.014482557773590088
24,0,official_fusion,0.4812460243701935,0.4812460243701935,0.0
25,4,camdeep,0.5544682741165161,0.5549991726875305,0.0005308985710144043
26,2,cam28_1,0.8233550190925598,0.8244072794914246,0.001052260398864746
27,0,official_fusion,0.10673761367797852,0.10673761367797852,0.0
28,0,official_fusion,0.25934046506881714,0.25934046506881714,0.0
29,0,official_fusion,0.46955716609954834,0.46955716609954834,0.0
30,0,official_fusion,1.0,1.0,0.0
31,2,cam28_1,0.39135512709617615,0.42470380663871765,0.033348679542541504
32,4,camdeep,0.4772213101387024,0.5057293772697449,0.02850806713104248
33,4,camdeep,0.4840095341205597,0.5002063512802124,0.01619681715965271
34,0,official_fusion,1.0,1.0,0.0
35,3,cam28_2,0.4858296811580658,0.49013638496398926,0.004306703805923462
36,0,official_fusion,0.0,0.0,0.0
37,0,official_fusion,0.23605592548847198,0.23605592548847198,0.0
38,0,official_fusion,1.0,1.0,0.0
39,3,cam28_2,0.5892018675804138,0.6334608793258667,0.04425901174545288
40,2,cam28_1,0.5076689720153809,0.5164087414741516,0.008739769458770752
41,2,cam28_1,0.3747037351131439,0.4105576276779175,0.03585389256477356
42,1,cam56,0.03914886340498924,0.05311432480812073,0.013965461403131485
43,0,official_fusion,1.0,1.0,0.0
44,2,cam28_1,0.46136799454689026,0.4791144132614136,0.017746418714523315
45,0,official_fusion,1.0,1.0,0.0
46,0,official_fusion,0.05045240744948387,0.05045240744948387,0.0
47,0,official_fusion,0.4850825071334839,0.4850825071334839,0.0
48,4,camdeep,0.3918207883834839,0.4009105861186981,0.009089797735214233
49,2,cam28_1,0.8409807085990906,0.8742364048957825,0.033255696296691895
50,1,cam56,0.22532020509243011,0.24605010449886322,0.020729899406433105
51,0,official_fusion,1.0,1.0,0.0
52,4,camdeep,0.18237802386283875,0.1833132952451706,0.0009352713823318481
53,4,camdeep,0.4049912989139557,0.4223860502243042,0.01739475131034851
54,0,official_fusion,0.42597058415412903,0.42597058415412903,0.0
55,2,cam28_1,0.34401994943618774,0.3581746816635132,0.01415473222732544
56,4,camdeep,0.4841407239437103,0.6258724927902222,0.14173176884651184
57,0,official_fusion,0.49557557702064514,0.49557557702064514,0.0
58,0,official_fusion,0.6080922484397888,0.6080922484397888,0.0
59,2,cam28_1,0.3224657475948334,0.32751721143722534,0.005051463842391968
60,0,official_fusion,0.30911192297935486,0.30911192297935486,0.0
61,0,official_fusion,0.18956606090068817,0.18956606090068817,0.0
62,3,cam28_2,0.4998704493045807,0.5004280805587769,0.000557631254196167
63,0,official_fusion,1.0,1.0,0.0
64,0,official_fusion,0.3597835600376129,0.3597835600376129,0.0
65,4,camdeep,0.448143869638443,0.48404350876808167,0.03589963912963867
66,2,cam28_1,0.46829015016555786,0.47264182567596436,0.004351675510406494
67,0,official_fusion,0.3141143321990967,0.3141143321990967,0.0
68,1,cam56,0.3451846241950989,0.4925937056541443,0.1474090814590454
69,3,cam28_2,0.5176125764846802,0.6633517742156982,0.14573919773101807
70,1,cam56,0.6211931705474854,0.7418181896209717,0.12062501907348633
71,0,official_fusion,1.0,1.0,0.0
72,0,official_fusion,0.4719686806201935,0.4719686806201935,0.0
73,4,camdeep,0.22503936290740967,0.26139581203460693,0.036356449127197266
74,3,cam28_2,0.5140460133552551,0.6051314473152161,0.09108543395996094
75,2,cam28_1,0.43904605507850647,0.47337567806243896,0.034329622983932495
76,1,cam56,0.46899744868278503,0.5217748284339905,0.052777379751205444
77,1,cam56,0.17668606340885162,0.2171265035867691,0.04044044017791748
78,0,official_fusion,0.4305345118045807,0.4305345118045807,0.0
79,0,official_fusion,1.0,1.0,0.0
80,4,camdeep,0.14212970435619354,0.1464734673500061,0.004343762993812561
81,0,official_fusion,1.0,1.0,0.0
82,4,camdeep,0.3780193626880646,0.5122268199920654,0.13420745730400085
83,1,cam56,0.8041892647743225,0.8111681342124939,0.006978869438171387
84,3,cam28_2,0.6937336325645447,0.7401182651519775,0.04638463258743286
85,4,camdeep,0.12217992544174194,0.12554267048835754,0.0033627450466156006
